file,pattern,lineno
sklearn\neural_network\rbm.py,hasattr,215
sklearn\neural_network\rbm.py,hasattr,237
sklearn\neural_network\rbm.py,hasattr,239
sklearn\neural_network\rbm.py,hasattr,247
sklearn\neural_network\rbm.py,hasattr,249
sklearn\neural_network\rbm.py,hasattr,251
sklearn\neural_network\tests\test_mlp.py,hasattr,378
sklearn\preprocessing\data.py,hasattr,268
sklearn\preprocessing\data.py,delattribute,269
sklearn\preprocessing\data.py,delattribute,270
sklearn\preprocessing\data.py,delattribute,271
sklearn\preprocessing\data.py,delattribute,272
sklearn\preprocessing\data.py,delattribute,273
sklearn\preprocessing\data.py,delattribute,274
sklearn\preprocessing\data.py,hasattr,323
sklearn\preprocessing\data.py,hasattr,530
sklearn\preprocessing\data.py,delattribute,531
sklearn\preprocessing\data.py,delattribute,532
sklearn\preprocessing\data.py,delattribute,533
sklearn\preprocessing\data.py,delattribute,534
sklearn\preprocessing\data.py,hasattr,589
sklearn\preprocessing\data.py,hasattr,604
sklearn\preprocessing\data.py,hasattr,734
sklearn\preprocessing\data.py,delattribute,735
sklearn\preprocessing\data.py,delattribute,736
sklearn\preprocessing\data.py,delattribute,737
sklearn\preprocessing\data.py,hasattr,780
sklearn\preprocessing\tests\test_data.py,hasattr,72
sklearn\preprocessing\tests\test_imputation.py,hasattr,127
sklearn\preprocessing\tests\test_imputation.py,hasattr,133
sklearn\preprocessing\tests\test_label.py,hasattr,31
sklearn\svm\base.py,hasattr,273
sklearn\svm\base.py,hasattr,429
sklearn\svm\tests\test_svm.py,hasattr,842
sklearn\svm\tests\test_svm.py,hasattr,844
sklearn\svm\tests\test_svm.py,hasattr,847
sklearn\svm\tests\test_svm.py,hasattr,849
sklearn\svm\tests\test_svm.py,hasattr,854
sklearn\tests\test_base.py,hasattr,111
sklearn\tests\test_common.py,getattr,130
sklearn\tests\test_common.py,getattr,131
sklearn\tests\test_common.py,hasattr,159
sklearn\tests\test_common.py,hasattr,193
sklearn\tests\test_common.py,hasattr,209
sklearn\tests\test_discriminant_analysis.py,hasattr,276
sklearn\tests\test_discriminant_analysis.py,hasattr,280
sklearn\tests\test_grid_search.py,hasattr,230
sklearn\tests\test_grid_search.py,hasattr,234
sklearn\tests\test_grid_search.py,hasattr,242
sklearn\tests\test_grid_search.py,hasattr,432
sklearn\tests\test_grid_search.py,hasattr,461
sklearn\tests\test_grid_search.py,hasattr,473
sklearn\tests\test_grid_search.py,hasattr,485
sklearn\tests\test_grid_search.py,hasattr,510
sklearn\tests\test_grid_search.py,hasattr,682
sklearn\tests\test_metaestimators.py,hasattr,66
sklearn\tests\test_metaestimators.py,hasattr,114
sklearn\tests\test_metaestimators.py,hasattr,115
sklearn\tests\test_metaestimators.py,getattr,119
sklearn\tests\test_metaestimators.py,getattr,127
sklearn\tests\test_metaestimators.py,hasattr,134
sklearn\tests\test_metaestimators.py,hasattr,135
sklearn\tree\tree.py,getattr,205
sklearn\tree\tree.py,getattr,280
sklearn\tree\tests\test_tree.py,getattr,697
sklearn\tree\tests\test_tree.py,getattr,708
sklearn\tree\tests\test_tree.py,getattr,1024
sklearn\utils\arpack.py,hasattr,886
sklearn\utils\arpack.py,hasattr,941
sklearn\utils\arpack.py,hasattr,1591
sklearn\utils\arpack.py,hasattr,1610
sklearn\utils\arpack.py,hasattr,1617
sklearn\utils\class_weight.py,hasattr,130
sklearn\utils\estimator_checks.py,hasattr,101
sklearn\utils\estimator_checks.py,hasattr,345
sklearn\utils\estimator_checks.py,hasattr,348
sklearn\utils\estimator_checks.py,hasattr,376
sklearn\utils\estimator_checks.py,hasattr,379
sklearn\utils\estimator_checks.py,hasattr,404
sklearn\utils\estimator_checks.py,hasattr,406
sklearn\utils\estimator_checks.py,hasattr,414
sklearn\utils\estimator_checks.py,getattr,417
sklearn\utils\estimator_checks.py,hasattr,432
sklearn\utils\estimator_checks.py,hasattr,434
sklearn\utils\estimator_checks.py,hasattr,454
sklearn\utils\estimator_checks.py,hasattr,456
sklearn\utils\estimator_checks.py,hasattr,476
sklearn\utils\estimator_checks.py,hasattr,478
sklearn\utils\estimator_checks.py,hasattr,499
sklearn\utils\estimator_checks.py,hasattr,501
sklearn\utils\estimator_checks.py,hasattr,578
sklearn\utils\estimator_checks.py,hasattr,608
sklearn\utils\estimator_checks.py,getattr,642
sklearn\utils\estimator_checks.py,getattr,644
sklearn\utils\estimator_checks.py,getattr,668
sklearn\utils\estimator_checks.py,hasattr,702
sklearn\utils\estimator_checks.py,getattr,703
sklearn\utils\estimator_checks.py,hasattr,764
sklearn\utils\estimator_checks.py,hasattr,779
sklearn\utils\estimator_checks.py,hasattr,823
sklearn\utils\estimator_checks.py,getattr,824
sklearn\utils\estimator_checks.py,getattr,831
sklearn\utils\estimator_checks.py,hasattr,837
sklearn\utils\estimator_checks.py,hasattr,843
sklearn\utils\estimator_checks.py,hasattr,869
sklearn\utils\estimator_checks.py,hasattr,899
sklearn\utils\estimator_checks.py,hasattr,901
sklearn\utils\estimator_checks.py,hasattr,970
sklearn\utils\estimator_checks.py,hasattr,979
sklearn\utils\estimator_checks.py,hasattr,1001
sklearn\utils\estimator_checks.py,hasattr,1046
sklearn\utils\estimator_checks.py,hasattr,1050
sklearn\utils\estimator_checks.py,hasattr,1054
sklearn\utils\estimator_checks.py,hasattr,1058
sklearn\utils\estimator_checks.py,hasattr,1174
sklearn\utils\estimator_checks.py,hasattr,1174
sklearn\utils\estimator_checks.py,hasattr,1210
sklearn\utils\estimator_checks.py,getattr,1217
sklearn\utils\estimator_checks.py,hasattr,1249
sklearn\utils\estimator_checks.py,hasattr,1251
sklearn\utils\estimator_checks.py,hasattr,1264
